1,acura,ilx,sedan,2015
2,acura,ilx,sedan,2016
3,acura,mdx,suv,2015
4,acura,mdx,suv,2016
5,acura,rdx,suv,2015
6,acura,rdx,suv,2016
7,acura,rlx,hybrid,2016
8,acura,rlx,sedan,2015
9,acura,rlx,sedan,2016
10,acura,tlx,sedan,2015
11,acura,tlx,sedan,2016
12,alfa-romeo,4c,convertible,2015
13,alfa-romeo,4c,convertible,2016
14,alfa-romeo,4c,coupe,2015
15,alfa-romeo,4c,coupe,2016
16,aston-martin,db9,convertible,2015
17,aston-martin,db9,convertible,2015
18,aston-martin,db9,coupe,2015
19,aston-martin,db9,coupe,2015
20,aston-martin,db9-gt,convertible,2016
21,aston-martin,db9-gt,coupe,2016
22,aston-martin,rapide-s,sedan,2015
23,aston-martin,rapide-s,sedan,2016
24,aston-martin,v12-vantage-s,convertible,2016
25,aston-martin,v12-vantage-s,coupe,2015
26,aston-martin,v12-vantage-s,coupe,2016
27,aston-martin,v8-vantage,convertible,2015
28,aston-martin,v8-vantage,convertible,2016
29,aston-martin,v8-vantage,coupe,2015
30,aston-martin,v8-vantage,coupe,2016
31,aston-martin,vanquish,convertible,2015
32,aston-martin,vanquish,convertible,2016
33,aston-martin,vanquish,coupe,2015
34,aston-martin,vanquish,coupe,2016
35,audi,a3,convertible,2015
36,audi,a3,convertible,2016
37,audi,a3,diesel,2015
38,audi,a3,sedan,2015
39,audi,a3,sedan,2016
40,audi,a3-sportback-e-tron,hatchback,2016
41,audi,a4,sedan,2015
42,audi,a4,sedan,2016
43,audi,a4,sedan,2017
44,audi,a5,convertible,2015
45,audi,a5,convertible,2016
46,audi,a5,coupe,2015
47,audi,a5,coupe,2016
48,audi,a6,diesel,2015
49,audi,a6,diesel,2016
50,audi,a6,sedan,2015
51,audi,a6,sedan,2016
52,audi,a7,diesel,2015
53,audi,a7,diesel,2016
54,audi,a7,sedan,2015
55,audi,a7,sedan,2016
56,audi,a8,diesel,2015
57,audi,a8,diesel,2016
58,audi,a8,sedan,2015
59,audi,a8,sedan,2016
60,audi,allroad,wagon,2015
61,audi,allroad,wagon,2016
62,audi,q3,suv,2015
63,audi,q3,suv,2016
64,audi,q5,diesel,2015
65,audi,q5,diesel,2016
66,audi,q5,hybrid,2015
67,audi,q5,hybrid,2016
68,audi,q5,suv,2015
69,audi,q5,suv,2016
70,audi,q7,diesel,2015
71,audi,q7,suv,2015
72,audi,q7,suv,2017
73,audi,r8,convertible,2015
74,audi,r8,coupe,2015
75,audi,r8,coupe,2017
76,audi,rs-5,convertible,2015
77,audi,rs-5,coupe,2015
78,audi,rs-7,sedan,2015
79,audi,rs-7,sedan,2016
80,audi,s3,sedan,2015
81,audi,s3,sedan,2016
82,audi,s4,sedan,2015
83,audi,s4,sedan,2016
84,audi,s5,convertible,2015
85,audi,s5,convertible,2016
86,audi,s5,coupe,2015
87,audi,s5,coupe,2016
88,audi,s6,sedan,2015
89,audi,s6,sedan,2016
90,audi,s7,sedan,2015
91,audi,s7,sedan,2016
92,audi,s8,sedan,2015
93,audi,s8,sedan,2016
94,audi,sq5,suv,2015
95,audi,sq5,suv,2016
96,audi,tt,convertible,2015
97,audi,tt,convertible,2016
98,audi,tt,coupe,2015
99,audi,tt,coupe,2016
100,audi,tts,convertible,2015
101,audi,tts,coupe,2015
102,audi,tts,coupe,2016
103,bentley,continental-gt,convertible,2015
104,bentley,continental-gt,coupe,2015
105,bentley,continental-gt,speed,2015
106,bentley,continental-gt,v8-s,2015
107,bentley,flying-spur,sedan,2015
108,bentley,mulsanne,sedan,2015
109,bmw,2-series,convertible,2015
110,bmw,2-series,convertible,2016
111,bmw,2-series,coupe,2015
112,bmw,2-series,coupe,2016
113,bmw,2-series,m235i,2015
114,bmw,2-series,m235i,2016
115,bmw,2-series,m235i-xdrive,2015
116,bmw,2-series,m235i-xdrive,2016
117,bmw,3-series,diesel,2015
118,bmw,3-series,diesel,2016
119,bmw,3-series,hybrid,2015
120,bmw,3-series,sedan,2015
121,bmw,3-series,sedan,2016
122,bmw,3-series,wagon,2015
123,bmw,3-series,wagon,2016
124,bmw,3-series-gran-turismo,hatchback,2015
125,bmw,3-series-gran-turismo,hatchback,2016
126,bmw,4-series,convertible,2015
127,bmw,4-series,convertible,2016
128,bmw,4-series,coupe,2015
129,bmw,4-series,coupe,2016
130,bmw,4-series-gran-coupe,sedan,2015
131,bmw,4-series-gran-coupe,sedan,2016
132,bmw,5-series,diesel,2015
133,bmw,5-series,diesel,2016
134,bmw,5-series,sedan,2015
135,bmw,5-series,sedan,2016
136,bmw,5-series-gran-turismo,hatchback,2015
137,bmw,5-series-gran-turismo,hatchback,2016
138,bmw,6-series,convertible,2015
139,bmw,6-series,convertible,2016
140,bmw,6-series,coupe,2015
141,bmw,6-series,coupe,2016
142,bmw,6-series-gran-coupe,sedan,2015
143,bmw,6-series-gran-coupe,sedan,2016
144,bmw,7-series,diesel,2015
145,bmw,7-series,sedan,2015
146,bmw,7-series,sedan,2016
147,bmw,activehybrid-5,sedan,2015
148,bmw,activehybrid-5,sedan,2016
149,bmw,activehybrid-7,sedan,2015
150,bmw,alpina-b6-gran-coupe,sedan,2015
151,bmw,alpina-b6-gran-coupe,sedan,2016
152,bmw,alpina-b7,sedan,2015
153,bmw,i3,hatchback,2015
154,bmw,i3,hatchback,2016
155,bmw,i8,coupe,2015
156,bmw,i8,coupe,2016
157,bmw,m2,coupe,2016
158,bmw,m3,sedan,2015
159,bmw,m3,sedan,2016
160,bmw,m4,convertible,2015
161,bmw,m4,convertible,2016
162,bmw,m4,coupe,2015
163,bmw,m4,coupe,2016
164,bmw,m5,sedan,2015
165,bmw,m5,sedan,2016
166,bmw,m6,convertible,2015
167,bmw,m6,convertible,2016
168,bmw,m6,coupe,2015
169,bmw,m6,coupe,2016
170,bmw,m6-gran-coupe,sedan,2015
171,bmw,m6-gran-coupe,sedan,2016
172,bmw,x1,suv,2015
173,bmw,x1,suv,2016
174,bmw,x3,diesel,2015
175,bmw,x3,diesel,2016
176,bmw,x3,suv,2015
177,bmw,x3,suv,2016
178,bmw,x4,m40i,2016
179,bmw,x4,suv,2015
180,bmw,x4,suv,2016
181,bmw,x5,diesel,2015
182,bmw,x5,diesel,2016
183,bmw,x5,suv,2015
184,bmw,x5,suv,2016
185,bmw,x5-edrive,suv,2016
186,bmw,x5-m,suv,2015
187,bmw,x5-m,suv,2016
188,bmw,x6,suv,2015
189,bmw,x6,suv,2016
190,bmw,x6-m,suv,2015
191,bmw,x6-m,suv,2016
192,bmw,z4,convertible,2015
193,bmw,z4,convertible,2016
194,buick,cascada,convertible,2016
195,buick,enclave,suv,2015
196,buick,enclave,suv,2016
197,buick,encore,suv,2015
198,buick,encore,suv,2016
199,buick,lacrosse,hybrid,2015
200,buick,lacrosse,sedan,2015
201,buick,lacrosse,sedan,2016
202,buick,regal,sedan,2015
203,buick,regal,sedan,2016
204,buick,verano,sedan,2015
205,buick,verano,sedan,2016
206,cadillac,ats,sedan,2015
207,cadillac,ats,sedan,2016
208,cadillac,ats-v,coupe,2016
209,cadillac,ats-v,sedan,2016
210,cadillac,ct6,sedan,2016
211,cadillac,cts,sedan,2015
212,cadillac,cts,sedan,2016
213,cadillac,cts,v-sport,2016
214,cadillac,cts,v-sport-premium,2016
215,cadillac,cts,vsport,2015
216,cadillac,cts,vsport-premium,2015
217,cadillac,cts-v,sedan,2016
218,cadillac,elr,coupe,2016
219,cadillac,escalade,suv,2015
220,cadillac,escalade,suv,2016
221,cadillac,escalade-esv,suv,2015
222,cadillac,escalade-esv,suv,2016
223,cadillac,srx,suv,2015
224,cadillac,srx,suv,2016
225,cadillac,xt5,suv,2017
226,cadillac,xts,sedan,2015
227,cadillac,xts,sedan,2016
228,chevrolet,camaro,convertible,2015
229,chevrolet,camaro,coupe,2015
230,chevrolet,camaro,coupe,2016
231,chevrolet,camaro,z28,2015
232,chevrolet,camaro,zl1,2015
233,chevrolet,city-express,minivan,2015
234,chevrolet,city-express,minivan,2016
235,chevrolet,colorado,crew-cab,2015
236,chevrolet,colorado,crew-cab,2016
237,chevrolet,colorado,extended-cab,2015
238,chevrolet,colorado,extended-cab,2016
239,chevrolet,corvette,convertible,2015
240,chevrolet,corvette,convertible,2016
241,chevrolet,corvette,coupe,2015
242,chevrolet,corvette,coupe,2016
243,chevrolet,corvette,z06,2015
244,chevrolet,corvette,z06-w1lz,2016
245,chevrolet,corvette,z06-w2lz,2016
246,chevrolet,corvette,z06-w3lz,2016
247,chevrolet,corvette-stingray,convertible,2014
248,chevrolet,corvette-stingray,coupe,2014
249,chevrolet,cruze,diesel,2015
250,chevrolet,cruze,sedan,2015
251,chevrolet,cruze,sedan,2016
252,chevrolet,cruze-limited,sedan,2016
253,chevrolet,equinox,suv,2015
254,chevrolet,equinox,suv,2016
255,chevrolet,express,diesel,2015
256,chevrolet,express,diesel,2016
257,chevrolet,express,van,2015
258,chevrolet,express,van,2016
259,chevrolet,express-cargo,diesel,2015
260,chevrolet,express-cargo,diesel,2016
261,chevrolet,express-cargo,van,2015
262,chevrolet,express-cargo,van,2016
263,chevrolet,impala,sedan,2015
264,chevrolet,impala,sedan,2016
265,chevrolet,malibu,hybrid,2016
266,chevrolet,malibu,sedan,2015
267,chevrolet,malibu,sedan,2016
268,chevrolet,malibu-limited,sedan,2016
269,chevrolet,silverado-1500,crew-cab,2015
270,chevrolet,silverado-1500,crew-cab,2016
271,chevrolet,silverado-1500,double-cab,2015
272,chevrolet,silverado-1500,double-cab,2016
273,chevrolet,silverado-1500,regular-cab,2015
274,chevrolet,silverado-1500,regular-cab,2016
275,chevrolet,silverado-2500hd,crew-cab,2015
276,chevrolet,silverado-2500hd,crew-cab,2016
277,chevrolet,silverado-2500hd,double-cab,2015
278,chevrolet,silverado-2500hd,double-cab,2016
279,chevrolet,silverado-2500hd,regular-cab,2015
280,chevrolet,silverado-2500hd,regular-cab,2016
281,chevrolet,silverado-3500hd,crew-cab,2015
282,chevrolet,silverado-3500hd,crew-cab,2016
283,chevrolet,silverado-3500hd,double-cab,2015
284,chevrolet,silverado-3500hd,double-cab,2016
285,chevrolet,silverado-3500hd,regular-cab,2015
286,chevrolet,silverado-3500hd,regular-cab,2016
287,chevrolet,sonic,hatchback,2015
288,chevrolet,sonic,hatchback,2016
289,chevrolet,sonic,sedan,2015
290,chevrolet,sonic,sedan,2016
291,chevrolet,spark,hatchback,2015
292,chevrolet,spark,hatchback,2016
293,chevrolet,spark-ev,hatchback,2015
294,chevrolet,spark-ev,hatchback,2016
295,chevrolet,ss,sedan,2015
296,chevrolet,ss,sedan,2016
297,chevrolet,suburban,suv,2015
298,chevrolet,suburban,suv,2016
299,chevrolet,tahoe,suv,2015
300,chevrolet,tahoe,suv,2016
301,chevrolet,traverse,suv,2015
302,chevrolet,traverse,suv,2016
303,chevrolet,trax,suv,2015
304,chevrolet,trax,suv,2016
305,chevrolet,volt,hatchback,2015
306,chevrolet,volt,hatchback,2016
307,chevrolet,volt,hatchback,2017
308,chrysler,200,sedan,2015
309,chrysler,200,sedan,2016
310,chrysler,300,sedan,2015
311,chrysler,300,sedan,2016
312,chrysler,pacifica,minivan,2017
313,chrysler,town-and-country,minivan,2015
314,chrysler,town-and-country,minivan,2016
315,chrysler,town-and-country,minivan,2015
316,chrysler,town-and-country,minivan,2016
317,dodge,challenger,392-hemi-scat-pack-shaker,2016
318,dodge,challenger,coupe,2015
319,dodge,challenger,coupe,2016
320,dodge,challenger,rt-scat-pack,2015
321,dodge,challenger,rt-scat-pack,2016
322,dodge,challenger,rt-scat-pack-shaker,2015
323,dodge,challenger,srt-392,2015
324,dodge,challenger,srt-hellcat,2015
325,dodge,charger,srt-392,2015
326,dodge,charger,srt-392,2016
327,dodge,charger,srt-hellcat,2015
328,dodge,charger,srt-hellcat,2016
329,dodge,charger,sedan,2015
330,dodge,charger,sedan,2016
331,dodge,dart,sedan,2015
332,dodge,dart,sedan,2016
333,dodge,durango,suv,2015
334,dodge,durango,suv,2016
335,dodge,grand-caravan,minivan,2015
336,dodge,grand-caravan,minivan,2016
337,dodge,journey,suv,2015
338,dodge,journey,suv,2016
339,dodge,srt-viper,coupe,2014
340,dodge,viper,coupe,2015
341,dodge,viper,coupe,2016
342,ferrari,458-italia,convertible,2015
343,ferrari,458-italia,coupe,2015
344,ferrari,california-t,convertible,2015
345,ferrari,f12-berlinetta,coupe,2015
346,ferrari,ff,coupe,2015
347,fiat,500,abarth,2015
348,fiat,500,abarth,2016
349,fiat,500,c-abarth,2015
350,fiat,500,convertible,2015
351,fiat,500,convertible,2016
352,fiat,500,hatchback,2015
353,fiat,500,hatchback,2016
354,fiat,500e,hatchback,2015
355,fiat,500e,hatchback,2016
356,fiat,500l,wagon,2015
357,fiat,500l,wagon,2016
358,fiat,500x,suv,2016
359,ford,c-max-energi,wagon,2015
360,ford,c-max-energi,wagon,2016
361,ford,c-max-hybrid,wagon,2015
362,ford,c-max-hybrid,wagon,2016
363,ford,edge,suv,2015
364,ford,edge,suv,2016
365,ford,escape,suv,2015
366,ford,escape,suv,2016
367,ford,escape,suv,2017
368,ford,expedition,suv,2015
369,ford,expedition,suv,2016
370,ford,explorer,suv,2015
371,ford,explorer,suv,2016
372,ford,f-150,regular-cab,2015
373,ford,f-150,regular-cab,2016
374,ford,f-150,supercab,2015
375,ford,f-150,supercab,2016
376,ford,f-150,supercrew,2015
377,ford,f-150,supercrew,2016
378,ford,f-250-super-duty,crew-cab,2015
379,ford,f-250-super-duty,crew-cab,2016
380,ford,f-250-super-duty,regular-cab,2015
381,ford,f-250-super-duty,regular-cab,2016
382,ford,f-250-super-duty,supercab,2015
383,ford,f-250-super-duty,supercab,2016
384,ford,f-350-super-duty,crew-cab,2015
385,ford,f-350-super-duty,crew-cab,2016
386,ford,f-350-super-duty,regular-cab,2015
387,ford,f-350-super-duty,regular-cab,2016
388,ford,f-350-super-duty,supercab,2015
389,ford,f-350-super-duty,supercab,2016
390,ford,f-450-super-duty,crew-cab,2015
391,ford,f-450-super-duty,crew-cab,2016
392,ford,fiesta,hatchback,2015
393,ford,fiesta,hatchback,2016
394,ford,fiesta,st,2015
395,ford,fiesta,st,2016
396,ford,fiesta,sedan,2015
397,ford,fiesta,sedan,2016
398,ford,flex,wagon,2015
399,ford,flex,wagon,2016
400,ford,focus,electric,2015
401,ford,focus,electric,2016
402,ford,focus,hatchback,2015
403,ford,focus,hatchback,2016
404,ford,focus,sedan,2015
405,ford,focus,sedan,2016
406,ford,focus-rs,hatchback,2016
407,ford,focus-st,hatchback,2015
408,ford,focus-st,hatchback,2016
409,ford,fusion,sedan,2015
410,ford,fusion,sedan,2016
411,ford,fusion,sedan,2017
412,ford,fusion-energi,sedan,2015
413,ford,fusion-energi,sedan,2016
414,ford,fusion-energi,sedan,2017
415,ford,fusion-hybrid,sedan,2015
416,ford,fusion-hybrid,sedan,2016
417,ford,fusion-hybrid,sedan,2017
418,ford,mustang,convertible,2015
419,ford,mustang,convertible,2016
420,ford,mustang,coupe,2015
421,ford,mustang,coupe,2016
422,ford,shelby-gt350,coupe,2015
423,ford,shelby-gt350,coupe,2016
424,ford,shelby-gt500,convertible,2014
425,ford,shelby-gt500,coupe,2014
426,ford,taurus,sho,2015
427,ford,taurus,sho,2016
428,ford,taurus,sedan,2015
429,ford,taurus,sedan,2016
430,ford,transit-connect,minivan,2015
431,ford,transit-connect,minivan,2016
432,ford,transit-wagon,van,2015
433,ford,transit-wagon,van,2016
434,gmc,acadia,suv,2015
435,gmc,acadia,suv,2016
436,gmc,acadia,suv,2017
437,gmc,canyon,crew-cab,2015
438,gmc,canyon,crew-cab,2016
439,gmc,canyon,extended-cab,2015
440,gmc,canyon,extended-cab,2016
441,gmc,savana,diesel,2015
442,gmc,savana,diesel,2016
443,gmc,savana,van,2015
444,gmc,savana,van,2016
445,gmc,savana-cargo,diesel,2015
446,gmc,savana-cargo,diesel,2016
447,gmc,savana-cargo,van,2015
448,gmc,savana-cargo,van,2016
449,gmc,sierra-1500,crew-cab,2015
450,gmc,sierra-1500,crew-cab,2016
451,gmc,sierra-1500,double-cab,2015
452,gmc,sierra-1500,double-cab,2016
453,gmc,sierra-1500,regular-cab,2015
454,gmc,sierra-1500,regular-cab,2016
455,gmc,sierra-2500hd,crew-cab,2015
456,gmc,sierra-2500hd,crew-cab,2016
457,gmc,sierra-2500hd,double-cab,2015
458,gmc,sierra-2500hd,double-cab,2016
459,gmc,sierra-2500hd,regular-cab,2015
460,gmc,sierra-2500hd,regular-cab,2016
461,gmc,sierra-3500hd,crew-cab,2015
462,gmc,sierra-3500hd,crew-cab,2016
463,gmc,sierra-3500hd,double-cab,2015
464,gmc,sierra-3500hd,double-cab,2016
465,gmc,sierra-3500hd,regular-cab,2015
466,gmc,sierra-3500hd,regular-cab,2016
467,gmc,terrain,suv,2015
468,gmc,terrain,suv,2016
469,gmc,yukon,suv,2015
470,gmc,yukon,suv,2016
471,gmc,yukon-xl,suv,2015
472,gmc,yukon-xl,suv,2016
473,honda,accord,coupe,2015
474,honda,accord,coupe,2016
475,honda,accord,sedan,2015
476,honda,accord,sedan,2016
477,honda,accord-hybrid,sedan,2015
478,honda,civic,coupe,2015
479,honda,civic,coupe,2016
480,honda,civic,hybrid,2015
481,honda,civic,natural-gas,2015
482,honda,civic,sedan,2015
483,honda,civic,sedan,2016
484,honda,civic,si,2015
485,honda,civic,si-wnavigation,2015
486,honda,civic,si-wnavigation-and-summer-tires,2015
487,honda,civic,si-wsummer-tires,2015
488,honda,cr-v,suv,2015
489,honda,cr-v,suv,2016
490,honda,cr-z,hatchback,2015
491,honda,cr-z,hatchback,2016
492,honda,crosstour,hatchback,2015
493,honda,fit,hatchback,2015
494,honda,fit,hatchback,2016
495,honda,fit-ev,hatchback,2014
496,honda,hr-v,suv,2016
497,honda,odyssey,minivan,2015
498,honda,odyssey,minivan,2016
499,honda,pilot,suv,2015
500,honda,pilot,suv,2016
501,honda,ridgeline,crew-cab,2014
502,hyundai,accent,hatchback,2015
503,hyundai,accent,hatchback,2016
504,hyundai,accent,sedan,2015
505,hyundai,accent,sedan,2016
506,hyundai,azera,sedan,2015
507,hyundai,azera,sedan,2016
508,hyundai,elantra,sedan,2015
509,hyundai,elantra,sedan,2016
510,hyundai,elantra,sedan,2017
511,hyundai,elantra-gt,hatchback,2015
512,hyundai,elantra-gt,hatchback,2016
513,hyundai,equus,sedan,2015
514,hyundai,equus,sedan,2016
515,hyundai,genesis,sedan,2015
516,hyundai,genesis,sedan,2016
517,hyundai,santa-fe,suv,2015
518,hyundai,santa-fe,suv,2016
519,hyundai,santa-fe,suv,2017
520,hyundai,santa-fe-sport,suv,2015
521,hyundai,santa-fe-sport,suv,2016
522,hyundai,santa-fe-sport,suv,2017
523,hyundai,sonata,sedan,2015
524,hyundai,sonata,sedan,2016
525,hyundai,sonata-hybrid,sedan,2015
526,hyundai,sonata-hybrid,sedan,2016
527,hyundai,sonata-plug-in-hybrid,sedan,2016
528,hyundai,tucson,suv,2015
529,hyundai,tucson,suv,2016
530,hyundai,veloster,hatchback,2015
531,hyundai,veloster,hatchback,2016
532,infiniti,q40,sedan,2015
533,infiniti,q50,hybrid,2015
534,infiniti,q50,hybrid,2016
535,infiniti,q50,sedan,2015
536,infiniti,q50,sedan,2016
537,infiniti,q60-convertible,ipl,2015
538,infiniti,q60-convertible,ipl,2015
539,infiniti,q70,hybrid,2015
540,infiniti,q70,hybrid,2016
541,infiniti,q70,sedan,2015
542,infiniti,q70,sedan,2016
543,infiniti,qx50,suv,2015
544,infiniti,qx50,suv,2016
545,infiniti,qx60,hybrid,2015
546,infiniti,qx60,hybrid,2016
547,infiniti,qx60,suv,2015
548,infiniti,qx60,suv,2016
549,infiniti,qx70,suv,2015
550,infiniti,qx70,suv,2016
551,infiniti,qx80,suv,2015
552,infiniti,qx80,suv,2016
553,jaguar,f-pace,diesel,2017
554,jaguar,f-pace,suv,2017
555,jaguar,f-type,convertible,2015
556,jaguar,f-type,convertible,2016
557,jaguar,f-type,convertible,2017
558,jaguar,f-type,coupe,2015
559,jaguar,f-type,coupe,2016
560,jaguar,f-type,coupe,2017
561,jaguar,f-type,project-7,2016
562,jaguar,f-type,r,2015
563,jaguar,f-type,r,2016
564,jaguar,f-type,r,2017
565,jaguar,xe,diesel,2017
566,jaguar,xe,sedan,2017
567,jaguar,xf,diesel,2017
568,jaguar,xf,sedan,2015
569,jaguar,xf,sedan,2016
570,jaguar,xf,sedan,2017
571,jaguar,xf,xfr,2015
572,jaguar,xf,xfr-s,2015
573,jaguar,xj,sedan,2015
574,jaguar,xj,sedan,2016
575,jaguar,xj,xjr,2015
576,jaguar,xj,xjr,2016
577,jaguar,xj,xjr-lwb,2015
578,jaguar,xj,xjr-lwb,2016
579,jaguar,xk,convertible,2015
580,jaguar,xk,coupe,2015
581,jaguar,xk,xkr,2015
582,jaguar,xk,xkr-s,2015
583,jeep,cherokee,suv,2015
584,jeep,cherokee,suv,2016
585,jeep,compass,suv,2015
586,jeep,compass,suv,2016
587,jeep,grand-cherokee,suv,2015
